module,script,language,purpose,cli_support,file_choose_fallback,input_files,output_files,dependencies,key_parameters,input_format_manual_checks,pipeline_handoff,potential_issues
"03.Multi-omics integration","Scripts/03.Multi-omics integration/03.Module assignment and  eigenvalue calculation.R","R","Merge DIABOLO and mmVec edges, detect multi-omics modules, and compute module eigengenes.","Yes: --diablo-edges, --mmvec-edges, --signature, --feature-type, --outdir","No.","edges_from_DIABOLO.csv; edges_from_mmVec.csv; multi_omics_signatures.csv; feature_type.csv or TSV.","Node_module.csv; Module_tree.pdf; ME_matrix.csv.","MetaNet; dplyr; tibble; WGCNA; tidyr","module_detect(..., method = cluster_fast_greedy); z-score scaling grouped by Type; moduleEigengenes for modules with at least 2 usable features.","Confirm edge files contain Source/Target or compatible columns; confirm signature matrix is feature x sample and numeric; confirm feature_type contains Feature and Type columns.","Requires manually prepared edges_from_mmVec.csv and feature_type.csv; Node_module.csv still needs manual augmentation to become the node file consumed by subpath isolation.","Signature orientation differs from mediation analysis expectations; features missing from feature_type are retained with NA Type; no repository-level real-data validation record is bundled."
"03.Multi-omics integration","Scripts/03.Multi-omics integration/04.Cross-omics subpath isolation.R","R","Extract microbiome-metabolite/protein/lipid triplets from a multi-omics network.","Yes: --edges, --nodes, --outdir","No.","multi-omics network.edge; multi-omics network.nodes.","Subpath.csv.","igraph; dplyr; tidyr; purrr","all_simple_paths cutoff = 5; keeps Microbiome-Metabolome/Lipidome-Proteome triplets inside each module.","Confirm edge file is comma-delimited and contains Source/Target-compatible columns; confirm node file contains ID, module, Group with Group values such as Microbiome, Proteome, Metabolome, Lipidome.","Requires a manually consolidated network.edge and network.nodes; Node_module.csv from the previous step is not sufficient on its own because Group annotations must be added manually.","Workflow still depends on manual consolidation of edges and node annotations; no repository-level real-data validation record is bundled."
"03.Multi-omics integration","Scripts/03.Multi-omics integration/05.Mediation effect analysis.R","R","Run bidirectional mediation analysis on extracted triplets.","Yes: --subpath, --signature, --outdir","No.","Subpath.csv; multi_omics_signatures.csv.","Mediation_results.csv.","lme4; mediation; dplyr","lm(metabolite ~ microbe) plus lm(protein ~ microbe + metabolite); reverse direction protein -> metabolite -> microbe; mediate(..., sims = 500).","Confirm Subpath.csv has Source, Middle, Target; confirm signature table is sample x feature with a Group column and numeric feature columns matching the triplet names.","Signature orientation must usually be manually transposed or reformatted relative to the feature x sample matrix used in module assignment.","No covariate adjustment or multiple-testing correction is applied; paths with missing or non-numeric variables are skipped; no repository-level real-data validation record is bundled."
"04.Organ analysis","Scripts/04.Organ analysis/01.Organ risk index.py","Python","Estimate organ-level risk indices from protein data using bootstrap random forests.","Yes: -p/--protein, -o/--organ, -i/--info, -r/--result, optional -m/--metabolite","No.","Protein expression CSV; protein-to-organ TSV; sample info CSV; optional metabolite file for interface compatibility.","organ_risk_index_mean.100.csv; organ_risk_index_se.100.csv; organ_risk_index_auc.100.csv.","pandas; numpy; scikit-learn; joblib; tqdm","n_bootstrap = 100; n_jobs = 50; RandomForestClassifier with GridSearchCV over n_estimators = 100, max_depth = 5, min_samples_split = 2; CalibratedClassifierCV(cv = 2).","Confirm protein matrix is sample x protein CSV; confirm organ map TSV contains Organ and Protein; confirm sample info CSV contains Group; confirm Group uses 2AR and 1HC labels.","Produces organ risk matrices that are consumed by downstream organ scripts; metabolite argument is accepted but not used.","Still hard-codes 2AR/1HC labels; metabolite input is unused; heavy parallel workload may not fit all environments; no repository-level real-data validation record is bundled."
"04.Organ analysis","Scripts/04.Organ analysis/02.LASSO analysis.R","R","Run per-organ LASSO regression to select top protein features.","Yes: --expr/-e, --organ-map/-m, --organ-index/-i","Yes; used when one or more input arguments are omitted.","Expression matrix CSV; protein-organ mapping CSV; organ index CSV.","Top_Lasso_Features_by_Organ.csv.","glmnet; caret; dplyr; ggplot2; stringr; tidyr","top_n = 10; createDataPartition(p = 0.7); cv.glmnet(alpha = 1, nfolds = 5); lambda.min used for final glmnet fit.","Confirm expression matrix is sample x protein with row names as sample IDs; confirm organ map contains Tissue2 and Gene_ID; confirm organ index columns are organ traits aligned to the expression samples.","Consumes organ risk index outputs plus curated expression/mapping tables; plotting remains interactive and no plot file is written by default.","No explicit outdir support yet; requires at least 5 mapped proteins per organ; plot is not saved; no repository-level real-data validation record is bundled."
"04.Organ analysis","Scripts/04.Organ analysis/03.GLASSO analysis.R","R","Estimate AR and HC organ correlation networks and compare bootstrap edge differences.","Yes: --organ/-o, --info/-i, --outdir/-r","Yes; used when organ/info arguments are omitted.","Organ matrix CSV; sample info TSV with ID and Group.","glasso_edges_AR_bootstrap.csv; glasso_edges_HC_bootstrap.csv; glasso_edges_AR_vs_HC_diff.csv; diff_edges_mat.csv; diff_edges_p.csv; diff_edges_padj.csv.","qgraph; bootnet; dplyr; tidyr; tidyverse; corrplot; RColorBrewer","scale() z-score normalization; bootnet default = EBICglasso, nBoots = 1000, tuning = 0.75; edge p values adjusted with Benjamini-Hochberg (BH) correction.","Confirm organ matrix row names match sample IDs; confirm info TSV contains ID and Group with 1HC/2AR labels; confirm each group retains at least 2 samples after alignment.","Produces differential organ network tables for downstream interpretation; no automatic handoff to SEM or other scripts.","corrplot figures are rendered interactively rather than saved; bootstrap can be computationally heavy; label convention differs from HC/AR classifiers elsewhere in the repo; no repository-level real-data validation record is bundled."
"04.Organ analysis","Scripts/04.Organ analysis/04.Structural Equations Model.R","R","Fit a hard-coded SEM describing organ-to-organ dependencies.","Yes: --organ/-o, --info/-i","Yes; used when organ/info arguments are omitted.","Organ matrix CSV; sample info TSV with ID and Group.","Console SEM summary only; no file output.","lavaan; semPlot; psych","Hard-coded SEM graph; sem(..., estimator = MLR, missing = fiml, meanstructure = TRUE); Group_bin = ifelse(Group == 2AR, 1, 0).","Confirm organ matrix row names match sample IDs; confirm info TSV contains ID and Group with 2AR/1HC labels; confirm organ column names match the hard-coded SEM nodes exactly.","Consumes organ matrices prepared for organ-network analysis; no structured downstream output artifact is written.","No output files beyond console summary; SEM structure is hard-coded to specific organ names and label coding; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/01.AR risk model-Micorbiome.py","Python","Train a random forest microbiome classifier and export ROC plus SHAP importance.","Yes: --input/-i, --outdir/-o, --label-column/-l","No.","Target_microbiome.csv.","ROC_curve_microbiome.pdf; Shap_feature_importance_microbiome.csv.","pandas; numpy; matplotlib; scikit-learn; shap","train_test_split(test_size = 0.2, random_state = 123); GridSearchCV(cv = 5) over n_estimators 100/200/300, max_depth 5/10/15/None, min_samples_leaf 1/2/4, max_features sqrt/log2; 5-fold StratifiedKFold ROC; SHAP TreeExplainer.","Confirm input is CSV with label column present; confirm the first two columns are metadata and features start at column 3; confirm labels are HC and AR.","Consumes a curated target table prepared outside the script; outputs are terminal model artifacts rather than intermediate files for other repo scripts.","Still assumes first two columns are metadata; SHAP output shape is version-sensitive; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/02.AR risk model-Metabolome.py","Python","Train a random forest metabolome classifier and export ROC plus SHAP importance.","Yes: --input/-i, --outdir/-o, --label-column/-l","No.","Target_metabolome.csv.","ROC_curve_metabolome.pdf; Shap_feature_importance_metabolome.csv.","pandas; numpy; matplotlib; scikit-learn; shap","train_test_split(test_size = 0.2, random_state = 123); GridSearchCV(cv = 5) over n_estimators 100/200/300, max_depth 5/10/15/None, min_samples_leaf 1/2/4, max_features sqrt/log2; 5-fold StratifiedKFold ROC; SHAP TreeExplainer.","Confirm input is CSV with label column present; confirm the first two columns are metadata and features start at column 3; confirm labels are HC and AR.","Consumes a curated target table prepared outside the script; outputs are terminal model artifacts rather than intermediate files for other repo scripts.","Still assumes first two columns are metadata; SHAP output shape is version-sensitive; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/03.AR risk model-Lipidome.py","Python","Train a random forest lipidome classifier and export ROC plus SHAP importance.","Yes: --input/-i, --outdir/-o, --label-column/-l","No.","Target_Lipidome.csv.","ROC_curve_lipidome.pdf; Shap_feature_importance_lipidome.csv.","pandas; numpy; matplotlib; scikit-learn; shap","train_test_split(test_size = 0.2, random_state = 123); GridSearchCV(cv = 5) over n_estimators 100/200/300, max_depth 5/10/15/None, min_samples_leaf 1/2/4, max_features sqrt/log2; 5-fold StratifiedKFold ROC; SHAP TreeExplainer.","Confirm input is CSV with label column present; confirm the first two columns are metadata and features start at column 3; confirm labels are HC and AR.","Consumes a curated target table prepared outside the script; outputs are terminal model artifacts rather than intermediate files for other repo scripts.","Still assumes first two columns are metadata; SHAP output shape is version-sensitive; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/04.AR risk model-Proteome.py","Python","Train a random forest proteome classifier and export ROC plus SHAP importance.","Yes: --input/-i, --outdir/-o, --label-column/-l","No.","Target_Proteome.csv.","ROC_curve_proteome.pdf; Shap_feature_importance_proteome.csv.","pandas; numpy; matplotlib; scikit-learn; shap","train_test_split(test_size = 0.2, random_state = 123); GridSearchCV(cv = 5) over n_estimators 100/200/300, max_depth 5/10/15/None, min_samples_leaf 1/2/4, max_features sqrt/log2; 5-fold StratifiedKFold ROC; SHAP TreeExplainer.","Confirm input is CSV with label column present; confirm the first two columns are metadata and features start at column 3; confirm labels are HC and AR.","Consumes a curated target table prepared outside the script; outputs are terminal model artifacts rather than intermediate files for other repo scripts.","Still assumes first two columns are metadata; SHAP output shape is version-sensitive; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/05.Feature selection.R","R","Run LASSO feature selection on the multi-omics target matrix and save the CV plot.","Yes: --input/-i, --outdir/-o, --label-column/-l","Yes; used when input is omitted.","Target_multi_omics.csv or equivalent tab-delimited matrix with a label column.","Lasso_feature_selection.pdf; Lasso_feature.csv.","glmnet; Metrics; ModelMetrics; caret","createDataPartition(p = 0.7); lambda grid seq(0, 2, length.out = 100); cv.glmnet(alpha = 1, nfolds = 5); fallback label column index 14 if the requested label column is absent.","Confirm input is tab-delimited with row names in the first column; confirm the label column exists or that the legacy column-14 fallback is intended; confirm feature columns are numeric.","Produces coefficient tables but does not automatically subset the matrix for downstream multi-omics risk modeling or stratification, so manual feature filtering is still required.","Legacy fallback to column 14 can mask mis-specified labels; downstream scripts still require a curated feature matrix rather than Lasso_feature.csv alone; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/06.AR risk model-Multi-omics.py","Python","Train a random forest multi-omics classifier and export ROC, SHAP importance, and a SHAP decision plot.","Yes: --input/-i, --outdir/-o, --label-column/-l","No.","Target_multi_omics.csv.","ROC_curve_multi_omics.pdf; Shap_feature_importance_multi_omics.csv; SHAP_decision.pdf.","pandas; numpy; matplotlib; scikit-learn; shap","train_test_split(test_size = 0.2, random_state = 123); GridSearchCV(cv = 5) over n_estimators 100/200/300, max_depth 5/10/15/None, min_samples_leaf 1/2/4, max_features sqrt/log2; 5-fold StratifiedKFold ROC; SHAP TreeExplainer with guarded decision_plot export.","Confirm input is CSV with label column present; confirm the first two columns are metadata and features start at column 3; confirm labels are HC and AR.","Consumes a curated multi-omics target table prepared outside the script; outputs are terminal model artifacts rather than intermediate files for other repo scripts.","Still assumes first two columns are metadata; SHAP decision_plot may fail depending on SHAP version and is only best-effort; no repository-level real-data validation record is bundled."
"05.AR risk model and stratification","Scripts/05.AR risk model and stratification/07.AR stratification.R","R","Cluster multi-omics signatures, test cluster differences, and export representative features plus plots.","Yes: --input/-i, --outdir/-o","Yes; used when input is omitted.","Numeric multi-omics matrix CSV with sample IDs in row names.","Elbow_Curve.pdf; PCoA.pdf; Violin_*.pdf; Kruskal_Wallis_pvalues.csv; DunnTest_pairwise_results.csv; Cluster_Representative_Features.csv; Sample_clustered.csv.","cluster; factoextra; dplyr; tidyr; FSA; ggplot2; umap; vegan; RColorBrewer","max_k = 10; best_k = 5; min_cluster_size = 5; kmeans nstart = 5 then 10; Kruskal-Wallis with Benjamini-Hochberg (BH) correction; DunnTest(method = bh).","Confirm input is comma-delimited with sample IDs in row names and only numeric feature columns; confirm chosen scaling and best_k are appropriate for the dataset.","Consumes a curated target matrix, often after manual feature selection; it does not read Lasso_feature.csv directly.","best_k is still manually fixed rather than auto-selected; clustering results depend strongly on the input matrix and scaling choices; no repository-level real-data validation record is bundled."
